ID,vars,constl,opaspr,dtype,ampas,assgn,arith,logrel,block,decl,exprn,lrvalue,incdcr,init,itcpt,selcpt,fncpar,countit,eventit,multi,nestit,fncdef,callfnc,pasaddr,stdio,endlp,beflp,ifelse,ifseri,scanf,printf,return,constr,fncs,sequen
19A-20,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
19A-21,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown
19B-1,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known
19B-2,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known
19B-3,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown
19B-4,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known
19B-5,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known
19B-6,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
19B-7,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known
19B-8,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known
19B-9,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
19B-10,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known
19B-11,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known
19B-12,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known
19B-13,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown
19B-14,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known
19B-15,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known
19B-16,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known
19B-17,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known
19B-18,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
19B-19,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known
11A-1,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known
11A-2,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
